repo,repo_owner,repo_name,repo_url,version,repo_complete_address,path_of_repo_info
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,038af357555c232eeb7a1083fb34dabdd95141c5,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,09661be363f50ce8081ac5c0023f63630e6bd913,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,132683a08f2759251072f72bd9091c9463cd8483,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,2097e71828c65122d36f7856eddd6b83b2ecfbdb,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,234ba765b478cc0bf7a30e766730ce0aea7c901d,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,3ee1f9e90215ae83c66bd40f89ab4b1f0e594a0b,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,509a59f68066681d20982453f34614a5e76c2a0c,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,696a739608ae0b25d1e169c6632e7e9b57b33986,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,792abb33c8657c9794051f209f2450c97d102094,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,85a77c25b84cf62ea25a0d8f24fbc51388fd39c9,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,85c450de6c4d49d97c4b351b7d37e9816fa0cafb,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,86cabf08623a8f9c9ab697a95a277690496b6fae,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,98181e8225c2fe6c5fd51c6264234f740e6bd629,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,a7c8f0c507ec963b8e81a917b5abe811dcd2e864,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,ab2f7209cd6a28e9a3ceba5b86eaa69a09074870,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,ad827dbb34422f4c7fd79343fb42a8a3f5c5660a,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,ec5e85e4316c6aa30bc2e115630f80c3b70e685e,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
brettwooldridge/HikariCP,brettwooldridge,HikariCP,https://github.com/brettwooldridge/HikariCP,ec8510710ac71f79f513c19f35d5da320c92e2f2,/home/amirreza/Documents/Sharif/last/java-testing/repos/brettwooldridge/HikariCP,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/brettwooldridge/HikariCP/project-info.json
jqno/equalsverifier,jqno,equalsverifier,https://github.com/jqno/equalsverifier,d8ea6812ca4203e98439ddbb85b001568d1af252,/home/amirreza/Documents/Sharif/last/java-testing/repos/jqno/equalsverifier,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/jqno/equalsverifier/project-info.json
jqno/equalsverifier,jqno,equalsverifier,https://github.com/jqno/equalsverifier,e8c027d7827bbaecbe2a8352284955c794fefc2a,/home/amirreza/Documents/Sharif/last/java-testing/repos/jqno/equalsverifier,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/jqno/equalsverifier/project-info.json
jettison-json/jettison,jettison-json,jettison,https://github.com/jettison-json/jettison,2b536fa46428bc7929aec8cb789f544337375593,/home/amirreza/Documents/Sharif/last/java-testing/repos/jettison-json/jettison,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/jettison-json/jettison/project-info.json
jettison-json/jettison,jettison-json,jettison,https://github.com/jettison-json/jettison,33f3034311da1be0cb8bbe5ea7caa2940737c592,/home/amirreza/Documents/Sharif/last/java-testing/repos/jettison-json/jettison,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/jettison-json/jettison/project-info.json
jettison-json/jettison,jettison-json,jettison,https://github.com/jettison-json/jettison,50d00d638f645a7766ac01196eb679c611b009e4,/home/amirreza/Documents/Sharif/last/java-testing/repos/jettison-json/jettison,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/jettison-json/jettison/project-info.json
jettison-json/jettison,jettison-json,jettison,https://github.com/jettison-json/jettison,813b913fa528ddefb903845d05b67d002bff21ff,/home/amirreza/Documents/Sharif/last/java-testing/repos/jettison-json/jettison,/home/amirreza/Documents/Sharif/last/Downloaded/Duets/dataset/jettison-json/jettison/project-info.json
